,id,words,ner,task
0,490,"['Данные', 'симптомы', 'появились', 'после', 'того', ',', 'как', 'накануне', 'она', 'съела', 'большое', 'количество', 'мороженого', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",297
1,366,"['Клинический', 'анализ', 'крови', ':', 'гемоглобин', '–', '145', 'г', '/', 'л', ';', 'эритроциты', '–', '4,9', '×', '1012', '/', 'л', ';', 'лейкоциты', '7,0', '×', '10', '9', '/', 'л', ';', 'СОЭ', '–', '15', 'мм', '/', 'час', '.']","['O', 'O', 'O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",291
2,594,"['С', 'какими', 'заболеваниями', 'следует', 'провести', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",303
3,481,"[')', ':', 'признаки', 'пневмонии', 'нижней', 'доли', 'правого', 'лѐгкого', '.']","['O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",296
4,533,"['ЧДД', '–', '19', 'в', 'мин', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",300
5,338,"['Печень', 'у', 'рѐберного', 'края', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'O']",290
6,669,"['С', 'какими', 'заболеваниями', 'следует', 'провести', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",307
9,147,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '343', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '279', '[', 'K000323', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'Е', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",279
10,527,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '367', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '300', '[', 'K003189', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Мужчина', '29', 'лет', 'обратился', 'в', 'поликлинику', 'с', 'жалобами', 'на', 'периодические', 'боли', 'в', 'эпигастральной', 'области', 'ноющего', 'характера', ',', 'возникающие', 'через', '1,5', '-', '2', 'часа', 'после', 'приѐма', 'пищи', ',', '«', 'ночные', 'боли', '»', ',', 'иногда', '–', 'изжогу', ',', 'тошноту', ',', 'запоры', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'PAT', 'O', 'PAT', 'O', 'PAT', 'O']",300
11,388,"['Тоны', 'сердца', 'приглушены', ',', 'ритмичные', ',', 'единичные', 'экстрасистолы', '.']","['PAT', 'PAT', 'PAT', 'O', 'PHY', 'O', 'PAT', 'PAT', 'O']",292
12,218,"['Одновременно', 'заболело', 'ещѐ', 'несколько', 'учащихся', '.']","['O', 'O', 'O', 'O', 'O', 'O']",282
13,100,"['Анамнез', 'заболевания', ':', 'заболел', '15.01', '.']","['O', 'O', 'O', 'O', 'O', 'O']",277
14,671,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '375', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '308', '[', 'K003182', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Вызов', 'на', 'дом', 'врача-терапевта', 'участкового', 'к', 'больной', '33', 'лет', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",308
15,659,"['Гиперемия', 'щѐк', ',', 'больше', 'слева', ',', 'небольшой', 'цианоз', 'слизистых', ',', 'на', 'губах', 'герпес', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",307
16,487,"['Сочетание', 'каких', 'из', 'назначенных', 'препаратов', 'повышает', 'риск', 'развития', 'нефротоксического', 'побочного', 'действия', '(', 'ответ', 'обоснуйте', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",296
17,434,"['Через', '3', 'дня', 'терапии', '(', 'Амоксициллин', '/', 'Клавуланат', '625', 'мг', '3', 'раза', 'в', 'сутки', ')', '–', 'температура', 'нормализовалась', '–', '36,6', '°', 'С', ',', 'самочувствие', 'улучшилось', '(', 'одышки', 'нет', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'O', 'O', 'O', 'PHY', 'PHY', 'O', 'O']",293
18,423,"['ЭКГ', ':', 'Ритм', 'синусовый', ',', 'правильный', ',', 'ЧСС', '–', '100', 'уд', '/', 'мин', ',', 'единичные', 'наджелудочковые', 'экстрасистолы', '.']","['O', 'O', 'PHY', 'PHY', 'O', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",293
19,169,"['Контрольный', 'бакТериальный', 'посев', 'мазка', 'из', 'ротоглотки', 'и', 'из', 'носа', 'отрицательный', '.']","['O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",279
20,683,"['Кожа', 'бледная', ',', 'небольшой', 'цианоз', '.']","['PAT', 'PAT', 'O', 'PAT', 'PAT', 'O']",308
21,386,"['В', 'лѐгких', 'дыхание', 'ослабленное', 'справа', ',', 'множественные', 'влажные', 'мелкопузырчатые', 'хрипы', 'выслушиваются', 'у', 'угла', 'правой', 'лопатки', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",292
23,258,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '350', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '286', '[', 'K000358', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'А', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",286
24,561,"['С', 'какими', 'заболеваниями', 'следует', 'провести', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",301
26,120,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '342', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '278', '[', 'K000321', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'М', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",278
28,285,"['Печень', 'и', 'селезѐнка', 'не', 'увеличены', '.']","['PHY', 'O', 'PHY', 'PHY', 'PHY', 'O']",287
29,67,"['АД', '–', '180', '/', '100', 'мм', 'рт', 'ст', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
30,758,"['При', 'обследовании', '–', 'выявлены', 'субиктеричность', 'склер', ',', 'пигментные', 'пятна', 'и', 'множественные', 'следы', 'расчѐсов', 'на', 'коже', 'туловища', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",313
31,58,"['Какие', 'осложнения', 'возможны', 'при', 'постоянной', 'форме', 'фибрилляции', 'предсердий', ',', 'и', 'какие', 'меры', 'профилактики', 'должны', 'быть', 'предприняты', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
32,307,"['Укажите', 'основные', 'методы', 'лабораторной', 'диагностики', '.']","['O', 'O', 'O', 'O', 'O', 'O']",288
33,407,"['Заболел', 'остро', 'после', 'переохлаждения', '.']","['O', 'O', 'O', 'O', 'O']",293
35,462,"['При', 'осмотре', 'АД', '120', '/', '70', 'мм', 'рт.ст', '.']","['O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",295
