,id,words,ner,task
5,338,"['Печень', 'у', 'рѐберного', 'края', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'O']",290
9,147,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '343', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '279', '[', 'K000323', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'Е', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",279
11,388,"['Тоны', 'сердца', 'приглушены', ',', 'ритмичные', ',', 'единичные', 'экстрасистолы', '.']","['PAT', 'PAT', 'PAT', 'O', 'PHY', 'O', 'PAT', 'PAT', 'O']",292
14,671,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '375', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '308', '[', 'K003182', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Вызов', 'на', 'дом', 'врача-терапевта', 'участкового', 'к', 'больной', '33', 'лет', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",308
17,434,"['Через', '3', 'дня', 'терапии', '(', 'Амоксициллин', '/', 'Клавуланат', '625', 'мг', '3', 'раза', 'в', 'сутки', ')', '–', 'температура', 'нормализовалась', '–', '36,6', '°', 'С', ',', 'самочувствие', 'улучшилось', '(', 'одышки', 'нет', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'O', 'O', 'O', 'PHY', 'PHY', 'O', 'O']",293
29,67,"['АД', '–', '180', '/', '100', 'мм', 'рт', 'ст', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
33,407,"['Заболел', 'остро', 'после', 'переохлаждения', '.']","['O', 'O', 'O', 'O', 'O']",293
49,782,"['Какое', 'лечение', 'следует', 'назначить', 'данному', 'больному', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",314
55,763,"['Печень', 'выступает', 'из-под', 'края', 'рѐберной', 'дуги', 'на', '7', 'см', ',', 'край', 'плотный', ',', 'безболезненный', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'O']",313
56,125,"['Все', 'последующие', 'дни', 'сохранялась', 'температура', 'в', 'пределах', '37,6', '–', '38', '°', 'С', ',', 'беспокоила', 'общая', 'слабость', ',', 'головная', 'боль', ',', 'тошнота', ',', 'плохой', 'аппетит', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'O']",278
