,words,ner,task
0,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '334', 'СИТУАЦИОННЫЕ', 'ЗАДАЧИ', '(', 'часть', '4', ')', 'для', 'первичной', 'аккредитации', 'выпускников', ',', 'завершающих', 'в', '2017', 'году', 'подготовку', 'по', 'образовательной', 'программе', 'высшего', 'медицинского', 'образования', 'в', 'соответствии', 'с', 'федеральным', 'государственным', 'образовательным', 'стандартом', 'по', 'специальности', '«', 'Лечебное', 'дело', '»', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '270', '[', 'K000058', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больная', '39', 'лет', 'обратилась', 'в', 'поликлинику', 'с', 'жалобами', 'на', 'боли', 'в', 'горле', 'при', 'глотании', ',', 'першение', ',', 'повышение', 'температуры', 'тела', 'до', '37,5', 'ºС', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
1,"['Больна', 'в', 'течение', '3', 'дней', '.']","['O', 'O', 'O', 'O', 'O', 'O']",270
2,"['Объективно', ':', 'слизистая', 'оболочка', 'нѐбных', 'миндалин', 'и', 'передних', 'нѐбных', 'дужек', 'гиперемирована', '.']","['O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
3,"['Нѐбные', 'миндалины', 'I', 'степени', 'гипертрофии', ',', 'покрыты', 'налѐтом', 'беловатого', 'цвета', ',', 'легко', 'снимающимся', ',', 'налѐт', 'растирается', 'между', 'шпателями', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
4,"['Задняя', 'стенка', 'глотки', 'умеренно', 'гиперемирована', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
5,"['В', 'анализе', 'крови', ':', 'лейкоциты', '\uf02d', '13,5', '×', '10', '9', '/', 'л', ',', 'эритроциты', '\uf02d', '3,9', '×', '10', '12', '/', 'л', ',', 'Нb', '-', '121', 'г', '/', 'л', ',', 'палочкоядерные', '\uf02d', '8%', ',', 'сегментоядерные', '\uf02d', '62%', ',', 'лимфоциты', '\uf02d', '26%', ',', 'моноциты', '\uf02d', '2%', ',', 'эозинофилы', '\uf02d', '2%', ',', 'СОЭ', '\uf02d', '25', 'мм', '/', 'час', '.']","['O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
6,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",270
7,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",270
8,"['2', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",270
9,"['3', '.', 'Через', '2', 'дня', 'у', 'данной', 'больной', 'усилились', 'жалобы', 'на', 'боль', 'в', 'горле', ',', 'больше', 'при', 'глотании', ',', 'больше', 'справа', ',', 'появилась', 'боль', 'в', 'правом', 'ухе', ',', 'затруднение', 'при', 'глотании', 'и', 'при', 'открывании', 'рта', ',', 'общее', 'недомогание', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",270
10,"['Объективно', ':', 'температура', '38,5', 'ºС', '.']","['O', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",270
11,"['Голос', 'имеет', 'гнусавый', 'оттенок', ',', 'открывание', 'рта', 'затруднено', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",270
12,"['В', 'глотке', 'определяется', 'гиперемия', 'слизистой', 'оболочки', ',', 'инфильтрация', 'паратонзиллярной', 'области', 'справа', ',', 'асимметрия', 'зева', 'за', 'счѐт', 'смещения', 'правой', 'миндалин', 'медиально', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
13,"['Язычок', 'резко', 'отѐчен', 'и', 'смещѐн', 'несколько', 'влево', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
14,"['Подчелюстные', 'лимфоузлы', 'справа', 'уплотнены', ',', 'увеличены', 'и', 'болезненны', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'O']",270
15,"['Как', 'вы', 'можете', 'оценить', 'подобную', 'ситуацию', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",270
16,"['Поставьте', 'диагноз', 'и', 'обоснуйте', '.']","['O', 'O', 'O', 'O', 'O']",270
17,"['4', '.', 'Какие', 'методы', 'диагностики', 'необходимо', 'провести', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",270
18,"['5', '.', 'Поставьте', 'диагноз', 'в', 'соответствии', 'с', 'МКБ', '.10', 'J03.0', 'Стрептококковый', 'тонзиллит', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",270
19,"['J03.8', 'Острый', 'тонзиллит', ',', 'вызванный', 'другими', 'уточненными', 'возбудителями', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",270
20,"['J03.9', 'Острый', 'тонзиллит', 'неуточненный', '.']","['O', 'O', 'O', 'O', 'O']",270
21,"['J36', 'Перитонзиллярный', 'абсцесс', '.']","['O', 'O', 'O', 'O']",270
70,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '339', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '275', '[', 'K000314', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'К', '.', '45', 'лет', 'обратился', 'в', 'поликлинику', 'к', 'врачу-терапевту', 'участковому', 'с', 'жалобами', 'на', 'головокружение', ',', 'перебои', 'в', 'работе', 'сердца', ',', 'мелькание', '«', 'мушек', '»', 'перед', 'глазами', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
71,"['В', 'течение', '5', 'лет', 'страдает', 'гипертонической', 'болезнью', ',', 'эпизодически', 'при', 'повышении', 'АД', 'принимает', 'Каптоприл', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
72,"['Сегодня', 'после', 'тяжѐлой', 'физической', 'нагрузки', '(', 'поднял', 'шкаф', 'на', '2', 'этаж', ')', 'появилось', 'подобное', 'состояние', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",275
73,"['Объективно', ':', 'кожные', 'покровы', 'лица', 'и', 'верхней', 'половины', 'туловища', 'гиперемированы', '.']","['O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
74,"['Тоны', 'сердца', 'аритмичные', ',', 'ЧСС', '–', '120', 'уд', '/', 'мин', ',', 'частые', 'экстрасистолы', '.']","['PAT-START', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",275
75,"['АД', '–', '180', '/', '100', 'мм', 'рт', 'ст', '.', 'В', 'лѐгких', 'дыхание', 'проводится', 'во', 'все', 'отделы', ',', 'хрипов', 'не', 'слышно', ',', 'ЧД', '–', '18', 'в', 'мин', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",275
76,"['Периферических', 'отѐков', 'нет', '.']","['PHY-START', 'PHY', 'PHY', 'O']",275
77,"['На', 'ЭКГ', ':', 'синусовый', 'ритм', ',', 'прерываемый', 'частыми', 'предсердными', 'экстрасистолами', ',', 'признаки', 'гипертрофии', 'левого', 'желудочка', ',', 'ЧСС', '–', '120', 'уд', '/', 'мин', '.']","['O', 'O', 'O', 'PHY-START', 'PHY', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",275
78,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",275
79,"['Выделите', 'ведущие', 'клинические', 'синдромы', '.']","['O', 'O', 'O', 'O', 'O']",275
80,"['2', '.', 'Поставьте', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",275
81,"['3', '.', 'Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",275
