,id,words,ner,task
6,669,"['С', 'какими', 'заболеваниями', 'следует', 'провести', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",307
13,100,"['Анамнез', 'заболевания', ':', 'заболел', '15.01', '.']","['O', 'O', 'O', 'O', 'O', 'O']",277
15,659,"['Гиперемия', 'щѐк', ',', 'больше', 'слева', ',', 'небольшой', 'цианоз', 'слизистых', ',', 'на', 'губах', 'герпес', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",307
16,487,"['Сочетание', 'каких', 'из', 'назначенных', 'препаратов', 'повышает', 'риск', 'развития', 'нефротоксического', 'побочного', 'действия', '(', 'ответ', 'обоснуйте', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",296
18,423,"['ЭКГ', ':', 'Ритм', 'синусовый', ',', 'правильный', ',', 'ЧСС', '–', '100', 'уд', '/', 'мин', ',', 'единичные', 'наджелудочковые', 'экстрасистолы', '.']","['O', 'O', 'PHY', 'PHY', 'O', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",293
32,307,"['Укажите', 'основные', 'методы', 'лабораторной', 'диагностики', '.']","['O', 'O', 'O', 'O', 'O', 'O']",288
35,462,"['При', 'осмотре', 'АД', '120', '/', '70', 'мм', 'рт.ст', '.']","['O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",295
39,277,"['Из', 'анамнеза', 'известно', ',', 'что', 'около', '2', 'недель', 'назад', 'был', 'в', 'лесу', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",287
40,544,"['Какие', 'симптомы', 'являются', 'обязательными', 'для', 'данного', 'заболевания', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",300
42,361,"['ЧД', '–', '18', 'в', 'мин', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",291
