,words,ner,task
33,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '336', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '272', '[', 'K000307', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'У', 'больной', '35', 'лет', ',', 'находившейся', 'на', 'лечении', 'в', 'урологическом', 'отделении', 'по', 'поводу', 'мочекаменной', 'болезни', ',', 'повысилась', 'температура', 'до', '39', 'ºС', ',', 'озноб', ',', 'симптом', 'поколачивания', 'резко', 'положительный', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O']",272
34,"['В', 'общем', 'анализе', 'мочи', 'признаки', 'инфекции', 'мочевых', 'путей', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",272
35,"['Поставлен', 'диагноз', '«', 'острый', 'пиелонефрит', '»', 'на', 'фоне', 'мочекаменной', 'болезни', ',', 'в', 'баклабораторию', 'отправлен', 'материал', 'для', 'посева', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
36,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",272
37,"['Препарат', 'какой', 'группы', 'антибактериальных', 'химиотерапевтических', 'средств', 'Вы', 'бы', 'рекомендовали', 'пациентке', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
38,"['Обоснуйте', 'свой', 'выбор', '2', '.']","['O', 'O', 'O', 'O', 'O']",272
39,"['Через', '2', 'дня', 'антибиотикотерапии', 'клинический', 'эффект', 'незначительный', ',', 'бактериологически', 'выяснено', ',', 'что', 'кишечная', 'палочка', '–', 'продуцент', 'ß-лактамаз', 'расширенного', 'спектра', ',', 'разрушающего', 'все', 'пенициллины', 'и', 'цефалоспорины', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
40,"['Предложите', 'выбор', 'антибиотика', '.']","['O', 'O', 'O', 'O']",272
41,"['3', '.', 'Данные', 'бактериологического', 'анализа', 'показали', 'чувствительность', 'кишечной', 'палочки', 'к', 'Имипенему', 'и', 'Меропенему', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
42,"['Какой', 'из', 'них', 'назначить', 'больной', '?']","['O', 'O', 'O', 'O', 'O', 'O']",272
43,"['4', '.', 'На', '4', 'день', 'применения', 'Меропенема', 'появилась', 'крапивница', ',', 'отѐк', 'Квинке', ',', 'в', 'связи', 'с', 'чем', 'препарат', 'отменѐн', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
44,"['Предложите', 'замену', 'препарата', '.']","['O', 'O', 'O', 'O']",272
45,"['5', '.', 'Какой', 'длительности', 'должен', 'быть', 'курс', 'антибиотикотерапии', 'при', 'осложнѐнном', 'пиелонефрите', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",272
160,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '343', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '279', '[', 'K000323', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'Е', '.', '32', 'года', ',', 'бизнесмен', ',', 'госпитализирован', 'на', '2', 'день', 'болезни', 'с', 'диагнозом', '«', 'грипп', ',', 'гипертоксическая', 'форма', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",279
161,"['Заболевание', 'началось', 'остро', ',', 'даже', 'внезапно', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",279
162,"['На', 'фоне', 'нормального', 'самочувствия', 'появился', 'озноб', ',', 'заболела', 'голова', ',', 'повысилась', 'температура', 'тела', 'до', '40,2', 'ºС', '.']","['O', 'O', 'O', 'O', 'O', 'PAT-START', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",279
163,"['Отмечал', 'светобоязнь', ',', 'лежал', 'с', 'закрытыми', 'глазами', ',', 'просил', 'выключить', 'телевизор', '.']","['PAT-START', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",279
164,"['Вечером', 'была', 'дважды', 'рвота', ',', 'сохранялась', '«', 'пульсирующая', '»', 'головная', 'боль', '.']","['O', 'O', 'O', 'PAT-START', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",279
165,"['Утром', 'следующего', 'дня', 'самочувствие', 'ухудшилось', ':', 'не', 'понимал', ',', 'где', 'находится', ',', 'стремился', 'пойти', 'на', 'работу', ',', 'при', 'попытке', 'встать', 'упал', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O']",279
166,"['При', 'поступлении', 'состояние', 'тяжѐлое', ',', 'сознание', 'затемнено', '.']","['O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O']",279
167,"['Дезориентирован', ',', 'но', 'отзывается', 'на', 'своѐ', 'имя', ',', 'жалуется', 'на', 'сильную', 'головную', 'боль', '.']","['PAT-START', 'O', 'PHY-START', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",279
168,"['Температура', 'тела', '39,2', '°', 'С', '.', 'Лицо', 'очень', 'бледное', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'PAT', 'O']",279
169,"['На', 'коже', 'живота', ',', 'ягодиц', 'и', 'нижних', 'конечностей', 'мелкая', 'звѐздчатая', 'сыпь', 'сине-фиолетового', 'цвета', ',', 'имеются', 'также', 'петехиальные', 'элементы', 'на', 'руках', '.']","['O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'O']",279
170,"['Резко', 'выражены', 'ригидность', 'затылочных', 'мышц', 'и', 'симптом', 'Кернига', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT-START', 'PAT', 'O']",279
171,"['Пульс', '–', '116', 'уд', '/', 'мин', ',', 'ритмичный', ',', 'АД', '–', '130', '/', '90', 'мм', 'рт', '.', 'ст', '.', 'Тоны', 'сердца', 'ясные', '.']","['PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY-START', 'O', 'PAT-START', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PHY-START', 'PHY', 'PHY', 'O']",279
