#FORMAT=WebAnno TSV 3.3
#T_SP=custom.Span|label
#T_SP=org.dkpro.core.api.pdf.type.PdfPage|height|pageNumber|width


#Text=СЗ_Лечебное дело (ч.4) – 2017 
#Text=
#Text= 
#Text=
#Text=334 
#Text=
#Text= 
#Text=
#Text=СИТУАЦИОННЫЕ ЗАДАЧИ (часть 4) 
#Text=
#Text=для первичной аккредитации выпускников, завершающих в 2017 году подготовку по 
#Text=
#Text=образовательной программе высшего медицинского образования в соответствии с 
#Text=
#Text=федеральным государственным образовательным стандартом по специальности 
#Text=
#Text=«Лечебное дело» 
#Text=
#Text=СИТУАЦИОННАЯ ЗАДАЧА 270 [K000058] 
#Text=
#Text=Инструкция: ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ 
#Text=
#Text=ОТВЕТЫ НА ВОПРОСЫ 
#Text=
#Text=Основная часть 
#Text=
#Text=Больная 39 лет обратилась в поликлинику с жалобами на боли в горле при 
#Text=
#Text=глотании, першение, повышение температуры тела до 37,5 ºС.
1-1	2-13	СЗ_Лечебное	_	841.92[911]	0[911]	595.32[911]	
1-2	14-18	дело	_	841.92[911]	0[911]	595.32[911]	
1-3	19-20	(	_	841.92[911]	0[911]	595.32[911]	
1-4	20-21	ч	_	841.92[911]	0[911]	595.32[911]	
1-5	21-23	.4	_	841.92[911]	0[911]	595.32[911]	
1-6	23-24	)	_	841.92[911]	0[911]	595.32[911]	
1-7	25-26	–	_	841.92[911]	0[911]	595.32[911]	
1-8	27-31	2017	_	841.92[911]	0[911]	595.32[911]	
1-9	37-40	334	_	841.92[911]	0[911]	595.32[911]	
1-10	46-58	СИТУАЦИОННЫЕ	_	841.92[911]	0[911]	595.32[911]	
1-11	59-65	ЗАДАЧИ	_	841.92[911]	0[911]	595.32[911]	
1-12	66-67	(	_	841.92[911]	0[911]	595.32[911]	
1-13	67-72	часть	_	841.92[911]	0[911]	595.32[911]	
1-14	73-74	4	_	841.92[911]	0[911]	595.32[911]	
1-15	74-75	)	_	841.92[911]	0[911]	595.32[911]	
1-16	78-81	для	_	841.92[911]	0[911]	595.32[911]	
1-17	82-91	первичной	_	841.92[911]	0[911]	595.32[911]	
1-18	92-104	аккредитации	_	841.92[911]	0[911]	595.32[911]	
1-19	105-116	выпускников	_	841.92[911]	0[911]	595.32[911]	
1-20	116-117	,	_	841.92[911]	0[911]	595.32[911]	
1-21	118-129	завершающих	_	841.92[911]	0[911]	595.32[911]	
1-22	130-131	в	_	841.92[911]	0[911]	595.32[911]	
1-23	132-136	2017	_	841.92[911]	0[911]	595.32[911]	
1-24	137-141	году	_	841.92[911]	0[911]	595.32[911]	
1-25	142-152	подготовку	_	841.92[911]	0[911]	595.32[911]	
1-26	153-155	по	_	841.92[911]	0[911]	595.32[911]	
1-27	158-173	образовательной	_	841.92[911]	0[911]	595.32[911]	
1-28	174-183	программе	_	841.92[911]	0[911]	595.32[911]	
1-29	184-191	высшего	_	841.92[911]	0[911]	595.32[911]	
1-30	192-204	медицинского	_	841.92[911]	0[911]	595.32[911]	
1-31	205-216	образования	_	841.92[911]	0[911]	595.32[911]	
1-32	217-218	в	_	841.92[911]	0[911]	595.32[911]	
1-33	219-231	соответствии	_	841.92[911]	0[911]	595.32[911]	
1-34	232-233	с	_	841.92[911]	0[911]	595.32[911]	
1-35	236-247	федеральным	_	841.92[911]	0[911]	595.32[911]	
1-36	248-263	государственным	_	841.92[911]	0[911]	595.32[911]	
1-37	264-279	образовательным	_	841.92[911]	0[911]	595.32[911]	
1-38	280-290	стандартом	_	841.92[911]	0[911]	595.32[911]	
1-39	291-293	по	_	841.92[911]	0[911]	595.32[911]	
1-40	294-307	специальности	_	841.92[911]	0[911]	595.32[911]	
1-41	310-311	«	_	841.92[911]	0[911]	595.32[911]	
1-42	311-319	Лечебное	_	841.92[911]	0[911]	595.32[911]	
1-43	320-324	дело	_	841.92[911]	0[911]	595.32[911]	
1-44	324-325	»	_	841.92[911]	0[911]	595.32[911]	
1-45	328-340	СИТУАЦИОННАЯ	_	841.92[911]	0[911]	595.32[911]	
1-46	341-347	ЗАДАЧА	_	841.92[911]	0[911]	595.32[911]	
1-47	348-351	270	_	841.92[911]	0[911]	595.32[911]	
1-48	352-353	[	_	841.92[911]	0[911]	595.32[911]	
1-49	353-360	K000058	_	841.92[911]	0[911]	595.32[911]	
1-50	360-361	]	_	841.92[911]	0[911]	595.32[911]	
1-51	364-374	Инструкция	_	841.92[911]	0[911]	595.32[911]	
1-52	374-375	:	_	841.92[911]	0[911]	595.32[911]	
1-53	376-388	ОЗНАКОМЬТЕСЬ	_	841.92[911]	0[911]	595.32[911]	
1-54	389-390	С	_	841.92[911]	0[911]	595.32[911]	
1-55	391-400	СИТУАЦИЕЙ	_	841.92[911]	0[911]	595.32[911]	
1-56	401-402	И	_	841.92[911]	0[911]	595.32[911]	
1-57	403-408	ДАЙТЕ	_	841.92[911]	0[911]	595.32[911]	
